,review_title,review_stars,review_date,review_body
0,suit perfect for kids,5.0 out of 5 stars,"on April 17, 2018","They are very mini flashlight, suit perfect for kids. We will use them when we go to camping, kids will love them!"
1,It isn't very bright but it's small and will easily fit in a pocket,5.0 out of 5 stars,"on April 17, 2018",It isn't very bright but it's small and will easily fit in a pocket. If you use and loose flash lights a lot these are perfect.
2,"Bright, but eats batteries",5.0 out of 5 stars,"on April 16, 2018","Very bright, I work in a run down steel mill and there are a lot of dark rooms to explore and shop in, but without light it’s impossible.  It comes with two lights, one clips into my hard hat clip and the other is handy in my pocket at all times..z must have for the price"
3,They work pretty good. Didn't blow me away,4.0 out of 5 stars,"on April 16, 2018","They work pretty good. Didn't blow me away, and they seem fragile (although it is fair to say that I have NOT tested how tough they are)."
4,Four Stars,4.0 out of 5 stars,"on April 16, 2018","I will only say for now so far so good, will see in a few months"
5,Five Stars,5.0 out of 5 stars,"on April 16, 2018","Great little flashlight, very bright, will buy again."
6,Works good on 1.2 volt Rechargeable Ni-Mh Batteries!,5.0 out of 5 stars,"on April 15, 2018","Nice well made little flashlight, they work good on 1.2 volt rechargeable Ni-Mh batteries."
7,Five Stars,5.0 out of 5 stars,"on April 15, 2018",It's exactly as described and I received it quickly.
8,Dependable light,5.0 out of 5 stars,"on April 14, 2018",Very small and very bright. These fit easy into any pocket yet they are bright. They make a good every day carry light. Pair it with amazon rechargeable battery and you are ready to go.  The clip is sturdy and easy to clip onto the pocket.
9,Four Stars,4.0 out of 5 stars,"on April 14, 2018",Good flashlights at a good price.
10,"One worked fine, the other would not turn",2.0 out of 5 stars,"on April 14, 2018","Received 2 flashlights. One worked fine, the other would not turn on"
11,Five Stars,5.0 out of 5 stars,"on April 14, 2018",These lights are alot nicer than I expected for the price
12,"Well made, solid aluminum",4.0 out of 5 stars,"on April 14, 2018","Well made, solid aluminum.  Was tough to figure out how to unscrew it to put batteries in.  Its the little cap on the end where the push button on switch is."
13,When you zoom in it doesnt even look like the LED shape,1.0 out of 5 stars,"on April 13, 2018","Not what i got as advertised. When you zoom in it doesnt even look like the LED shape, it is blurry and week. Quality wasn't the greatest when i took the flashlight apart. Electronics were not well put together and weren't held in place."
14,Do not waste your money,1.0 out of 5 stars,"on April 13, 2018",Junk junk junk sums it up
15,Five Stars,5.0 out of 5 stars,"on April 13, 2018",Really good for the price.
16,Five Stars,5.0 out of 5 stars,"on April 12, 2018",They both work great. Can adjust beam very easily.  Fast shipping
17,Flash lights,1.0 out of 5 stars,"on April 12, 2018",The 1st flashlight I used at work fell apart in my pocket.The barrel that focuses the light  stripped out the inner threads.I will try the 2nd light this week.
18,Perfect for camping,5.0 out of 5 stars,"on April 12, 2018",I ordered these to put in our camper for a light that didn't require a lot of room.  These are perfect and give off light  exactly what as  I wanted.  I would buy them again.
19,Five Stars,5.0 out of 5 stars,"on April 12, 2018",This flashlight is exactly what I wanted.
20,A GREAT BUY,5.0 out of 5 stars,"on April 12, 2018","Really great flashlights. Well made, bright light! A great buy!"
21,Five Stars,5.0 out of 5 stars,"on April 11, 2018","This is great of camping, cycling."
22,Good Quality,5.0 out of 5 stars,"on April 11, 2018",Good little well made flashlight. Can't beat them for the price. They make nice gifts.
23,Not worth a 3star review.,2.0 out of 5 stars,"on April 11, 2018",Because they were $4 each that got them one star. Because they worked they got another. Because they did not work properly two stars is all they are worth.
24,I loaded each flashlight with a with an AA 2 ...,5.0 out of 5 stars,"on April 11, 2018","I loaded each flashlight with a with an AA 2,800 mAHr rechargeable battery. They are well-constructed and function well. Beam width adjust is smooth and provides a reasonable range of pinpoint and dispersed. The only con is the three-cycle on/off function to move between high-beam, low-beam and flashing. This is the kind of small and cheap flashlight that one would leave in a backpack or car glove box and know that it will function when it's called upon. In this application ensure that you understand the self-discharge rate of the type of batteries employed and change them accordingly. -Cheers"
25,Great range for a small package,5.0 out of 5 stars,"on April 11, 2018",We were looking for a decent flashlight for outdoor use - primary in the back yard to spot the pets or other critters.  I took a shot at these since they were on sale. They arrived and we kinda laughed thinking they wouldn't do the job.We were wrong.  Our back yard goes back 80 feet or so.  This thing lights it up in spot mode or the more open mode.  It's great.  I'll be picking up a couple more.
26,Five Stars,5.0 out of 5 stars,"on April 11, 2018","Very nice, works great"
27,Sturdy little lights,5.0 out of 5 stars,"on April 11, 2018","These are sturdy little flashlights that we plan to use in our kayaks in case we need a light. They are a lot sturdier than I would have thought for the price, and they have the flashing lights that would be of use if we find ourselves stranded out at night."
